ID,Parent Company,Acquired Company,Business,Acquisition Date
314,Hp,Ericsson Hewlett Packard Telecom (EHPT) 60% Ericsson and 40% Hewlett-Packard.,Telecoms,
315,Hp,Four Pi Systems Corp.,Automatic test equipment,1993-04-01
316,Hp,Metrix Network Systems,Computer networking,
317,Hp,BT&D Technologies,Electronics,1993-09-01
318,Hp,EEsof Inc.,Computer software,1993-10-01
319,Hp,Versatest,Automatic test equipment,
320,Hp,Canstar Systems (an Alcatel Canada Wire Inc division),Fibre Channel switch,
321,Hp,CaLan Inc.,Automatic test equipment,1995-06-01
322,Hp,Convex Computer,Computer manufacturer,1995-09-01
323,Hp,ElseWare Corp.,Computer programming,1995-12-01
324,Hp,SecureWare Internet security division,Computer security,1996-02-01
325,Hp,Graphics technology from Parametric Technology Corporation,Graphics hardware,1996-06-01
326,Hp,Division Inc.,Computer programming,1996-06-01
327,Hp,DP-Tek Development,Imaging,1996-07-01
328,Hp,Trellis Software & Controls,Motion control,1996-08-01
329,Hp,Vital Technology Pte Ltd,Investment,1997-03-01
330,Hp,VeriFone,Electronic bill payment,1997-04-01
331,Hp,PROLIN,Information technology,1997-06-01
332,Hp,Internet printing technology from ForeFront Group,Printing,1997-09-01
333,Hp,Nuview ManageX from Nuview Inc.,Business process management,1997-11-01
334,Hp,Optimazation systems,Computer software,1997-11-01
335,Hp,Business related assets of Siltek,Information technology,1998-01-01
336,Hp,Heartstream,Medical equipment,1998-03-01
337,Hp,Computing & Measurement Systems,Computers,1998-06-01
338,Hp,Scope Communications Inc.,Cable tester,1998-10-01
339,Hp,"Open Skies, Inc.",Computer software,1998-10-01
340,Hp,Printmountain,Printing,1999-05-01
341,Hp,Telegra Corp,Computer software,1999-05-01
342,Hp,Transoft Networks,Storage area network,1999-05-01
343,Hp,Dazel Corporation,Computer software,1999-06-01
344,Hp,Security Force Software,Computer security,1999-08-01
345,Hp,Qosnetics,Information technology,1999-09-01
346,Hp,Bluestone Software,Computer software,2001-01-01
347,Hp,Comdisco Inc.,Information technology,2001-08-01
348,Hp,Trinagy Inc.,Computer software,2001-08-01
349,Hp,StorageApps,Data storage,2001-09-01
350,Hp,Indigo N.V,Printing service,2002-03-01
351,Hp,Compaq,Personal computer,2002-05-01
352,Hp,Procter & Gamble IT,Information technology,2003-05-01
353,Hp,Ericsson IT,Information technology,2003-06-01
354,Hp,PipeBeach,Communication software,2003-07-01
355,Hp,Extreme Logic Inc.,Information technology,
356,Hp,Talking Blocks,Web service,
357,Hp,SelectAccess assets of Baltimore Technologies,Computer security,2003-09-01
358,Hp,Persist Technology,Computer software,
359,Hp,Consera Software,Computer software,2004-02-01
360,Hp,Triaton Gmbh,Information technology,
361,Hp,TruLogica,Computer software,
362,Hp,Novadigm Inc.,Computer software,2004-04-01
363,Hp,IT Infrastructure Management LLC(doing business as ManageOne),Information technology consulting,2004-05-01
364,Hp,CEC Europe Service Management,Information technology consulting,2004-05-01
365,Hp,Networking technology from Riverstone Networks,Computer networking,2004-06-01
366,Hp,Synstar,Information technology,2004-10-01
367,Hp,IT division of West LB AG,Information technology,2005-01-01
368,Hp,Snapfish,Photo sharing,2005-04-01
369,Hp,CGNZ,Information technology consulting,
370,Hp,AppIQ,Data storage,
371,Hp,RLX Technologies,Computer software,
372,Hp,Scitex Vision,Printing service,2005-11-01
373,Hp,Trustgenix Inc.,Computer software,
374,Hp,PIXACO,Online photo services,
375,Hp,Peregrine Systems,Computer software,2005-12-01
376,Hp,OuterBay,Computer software,
377,Hp,Silverwire,Imaging,
